[2014-07-29 17:20:53] {'PlayerId':640003021,'time':'1406625653','sceneId':'0'}
[2014-07-29 17:21:36] {'PlayerId':640003021,'time':'1406625696','sceneId':'0'}
[2014-07-29 17:22:40] {'PlayerId':640003021,'time':'1406625760','sceneId':'0'}
[2014-07-29 17:24:06] {'PlayerId':640003021,'time':'1406625846','sceneId':'0'}
[2014-07-29 17:48:42] {'PlayerId':640003022,'time':'1406627322','sceneId':'0'}
[2014-07-29 17:54:54] {'PlayerId':640002617,'time':'1406627694','sceneId':'0'}
[2014-07-29 17:55:06] {'PlayerId':640003022,'time':'1406627706','sceneId':'0'}
[2014-07-29 17:58:15] {'PlayerId':640002386,'time':'1406627895','sceneId':'0'}
[2014-07-29 17:58:24] {'PlayerId':640003022,'time':'1406627904','sceneId':'0'}
[2014-07-29 17:58:57] {'PlayerId':640002386,'time':'1406627937','sceneId':'0'}
[2014-07-29 18:13:45] {'PlayerId':640003022,'time':'1406628825','sceneId':'0'}
[2014-07-29 18:13:53] {'PlayerId':640003024,'time':'1406628833','sceneId':'0'}
[2014-07-29 18:17:48] {'PlayerId':640003024,'time':'1406629068','sceneId':'0'}
[2014-07-29 18:20:27] {'PlayerId':640003024,'time':'1406629227','sceneId':'0'}
[2014-07-29 18:23:35] {'PlayerId':640003024,'time':'1406629415','sceneId':'0'}
[2014-07-29 18:23:56] {'PlayerId':640003022,'time':'1406629436','sceneId':'0'}
[2014-07-29 18:28:37] {'PlayerId':640003024,'time':'1406629717','sceneId':'0'}
[2014-07-29 18:28:39] {'PlayerId':640003022,'time':'1406629719','sceneId':'0'}
[2014-07-29 18:28:52] {'PlayerId':640003022,'time':'1406629732','sceneId':'0'}
[2014-07-29 18:29:04] {'PlayerId':640003022,'time':'1406629744','sceneId':'0'}
[2014-07-29 18:29:16] {'PlayerId':640003022,'time':'1406629756','sceneId':'0'}
[2014-07-29 18:29:28] {'PlayerId':640003022,'time':'1406629768','sceneId':'0'}
[2014-07-29 18:29:38] {'PlayerId':640003022,'time':'1406629778','sceneId':'0'}
[2014-07-29 18:30:09] {'PlayerId':640003022,'time':'1406629809','sceneId':'0'}
[2014-07-29 18:30:31] {'PlayerId':640003022,'time':'1406629831','sceneId':'0'}
[2014-07-29 18:30:56] {'PlayerId':640003022,'time':'1406629856','sceneId':'0'}
[2014-07-29 18:31:28] {'PlayerId':640003022,'time':'1406629888','sceneId':'0'}
[2014-07-29 18:31:47] {'PlayerId':640003022,'time':'1406629907','sceneId':'0'}
[2014-07-29 18:32:29] {'PlayerId':640003022,'time':'1406629949','sceneId':'0'}
[2014-07-29 18:32:48] {'PlayerId':640003022,'time':'1406629968','sceneId':'0'}
[2014-07-29 18:35:54] {'PlayerId':640003024,'time':'1406630154','sceneId':'0'}
[2014-07-29 18:36:10] {'PlayerId':640003024,'time':'1406630170','sceneId':'0'}
[2014-07-29 19:12:35] {'PlayerId':640002973,'time':'1406632355','sceneId':'0'}
[2014-07-29 19:18:27] {'PlayerId':640002973,'time':'1406632707','sceneId':'0'}
[2014-07-29 19:19:06] {'PlayerId':640002973,'time':'1406632746','sceneId':'0'}
[2014-07-29 19:20:14] {'PlayerId':640002973,'time':'1406632814','sceneId':'0'}
[2014-07-29 19:21:22] {'PlayerId':640002973,'time':'1406632882','sceneId':'0'}
[2014-07-29 19:23:23] {'PlayerId':640002973,'time':'1406633003','sceneId':'0'}
[2014-07-29 19:28:50] {'PlayerId':640002973,'time':'1406633330','sceneId':'0'}
[2014-07-29 19:33:02] {'PlayerId':640002557,'time':'1406633582','sceneId':'0'}
[2014-07-29 19:37:32] {'PlayerId':640002557,'time':'1406633852','sceneId':'0'}
[2014-07-29 19:38:16] {'PlayerId':640002403,'time':'1406633896','sceneId':'0'}
[2014-07-29 19:39:39] {'PlayerId':640002548,'time':'1406633979','sceneId':'0'}
[2014-07-29 19:39:42] {'PlayerId':640002839,'time':'1406633982','sceneId':'0'}
[2014-07-29 19:51:37] {'PlayerId':640003025,'time':'1406634697','sceneId':'0'}
[2014-07-29 19:52:44] {'PlayerId':640003025,'time':'1406634764','sceneId':'0'}
[2014-07-29 19:53:55] {'PlayerId':640002973,'time':'1406634835','sceneId':'0'}
[2014-07-29 19:54:28] {'PlayerId':640003025,'time':'1406634868','sceneId':'0'}
[2014-07-29 19:56:07] {'PlayerId':640003025,'time':'1406634967','sceneId':'0'}
[2014-07-29 19:56:13] {'PlayerId':640002973,'time':'1406634973','sceneId':'0'}
[2014-07-29 19:57:06] {'PlayerId':640002973,'time':'1406635026','sceneId':'0'}
